Ambulatori;;;;
Periodicitˆ;Progressivo;Attivitˆ;Zona;Attivitˆ
1;1;Controllo;Ambulatorio;Controllo in ambiente illuminazione ordinaria
1;2;Controllo;Ambulatorio;Controllo in ambiente postazioni PC integritˆ
1;3;Controllo;Ambulatorio;Controllo in ambiente postazioni PC integritˆ e cablaggi scrivanie + controllo stato eventuale di multiple e stato di conservazione segnalare situazioni particolari come cablaggi  e multiple a terra
1;4;Controllo;Ambulatorio;Controllo stato cablaggi elettromedicali e segnalare situazioni di anomalia e/o pericolo
1;5;Controllo;Ambulatorio;Controllo centralino ambulatorio come da schede giˆ presenti
1;6;Controllo;Ambulatorio;Prova centralino ambulatorio come da schede giˆ presenti
1;7;Controllo;Ambulatorio;Controllo illuminazione di sicurezza come da schede giˆ presenti
1;8;Controllo;Ambulatorio;Prova illuminazione di sicurezza come da schede giˆ presenti
1;9;Controllo;Ambulatorio;Controllo EQP come da schede giˆ presenti
1;10;Controllo;Ambulatorio;Prova  EQP come da schede giˆ presenti
NP;11;;;
NP;12;;;
NP;13;;;
NP;14;;;
NP;15;;;
NP;16;;;
NP;17;;;
NP;18;;;
NP;19;;;
NP;20;;;
NP;21;;;
NP;22;;;
NP;23;;;
NP;24;;;
NP;25;;;
NP;26;;;
NP;27;;;
NP;28;;;
NP;29;;;Prova di funzionamento di tutti i dispositivi differenziali tramite tasto di prova
NP;30;;;Prova di funzionamento di tutti i dispositivi differenziali tramite apposito strumento di  prova
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Premessa Ambulatori;;;;
Le attivitˆ sui quadri elettrici devono essere svolte da personale addestrato ai lavori elettrici con qualifica PES come da Norma CEI 11-27, eseguiti in totale sicurezza. Prima di accedere alle parti elettriche in tensione del quadro occorre verificare che siano state sezionate tutte le alimentazioni elettriche con tensione superiore a 25 Vca / 60 Vdc, verificando preventivamente tramite tester la presenza di eventuali tensioni residue pericolose;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
