Building Automation Contro System;;;;
Periodicitˆ;Progressivo;Attivitˆ;Zona;Attivitˆ
06;1;Verifica;BACS;Verifica funzionamento Pannello LCD se presente
1;2;Verifica;BACS;Verificare segnalazione di eventuali Allarmi in corso
1;3;Verifica;BACS;Verificare Storico Allarmi ultimo mese
1;4;Verifica;BACS;Verifica funzionalitˆ del sistema
1;5;Verifica;BACS;Prova corretto funzionamento allarmi tecnici, consistente in prova a campione su almento il
20% in ogni quadro elettrico
1;6;Verifica;BACS;Verificare che i sistemi di allarme (Eventuale Pannello LCD) generino segnalazione di allarme durante
la prova a campione degli allarmi tecnici.
1;7;Verifica;BACS;Prova corretto funzionamento allarmi tecnici Alta Prioritˆ (Cabina elettrica, ecc)
1;8;Verifica;BACS;Verifica funzionamento dimmerazione automatica illuminazione lavorazione
1;9;Verifica;BACS;Verifica funzionamento dimmerazione automatica illuminazione Uffici (a campione)
1;10;Verifica;BACS;Verifica impostazioni orari accensioni automatiche (illuminazione esterna)
1;11;Verifica;BACS;Verifica effettiva inversione Tutta Notte circuiti illuminazione esterna
1;12;Verifica;BACS;Verifica funzionamento Bipotenza su illuminazione esterna
1;13;Verifica;BACS;Verifica funzionamento chiusura automatica Lucernaiin caso di pioggia-vento
NP;14;;;
NP;15;;;
NP;16;;;
NP;17;;;
NP;18;;;
NP;19;;;
NP;20;;;
NP;21;;;
NP;22;;;
NP;23;;;
NP;24;;;
NP;25;;;
NP;26;;;
NP;27;;;
NP;28;;;
NP;29;;;Prova di funzionamento di tutti i dispositivi differenziali tramite tasto di prova
NP;30;;;Prova di funzionamento di tutti i dispositivi differenziali tramite apposito strumento di  prova
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Premessa Building Control System;;;;
Le attivitˆ sui quadri elettrici devono essere svolte da personale addestrato ai lavori elettrici con qualifica PES come da Norma CEI 11-27, eseguiti in totale sicurezza. Prima di accedere alle parti elettriche in tensione del quadro occorre verificare che siano state sezionate tutte le alimentazioni elettriche con tensione superiore a 25 Vca / 60 Vdc, verificando preventivamente tramite tester la presenza di eventuali tensioni residue pericolose;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
