Degenze;;;;
Periodicità;Progressivo;Attività;Zona;Attività
1;1;Controllo;Degenze;Testaletto Controllo Estetico Strutturale e Stabilità
1;2;Controllo;Degenze;Testaletto Controllo integrità copertura esuperiore e inferiore
1;3;Controllo;Degenze;Testaletto Controllo e Prova Illuminazione ordinaria più relativi comandi locali
1;4;Controllo;Degenze;Testaletto Controllo e Prova Illuminazione luce lettura più relativi comandi locali
1;5;Controllo;Degenze;Testaletto Controllo e Prova Illuminazione luce visita più relativi comandi locali
1;6;Controllo;Degenze;Testaletto Controllo e Prova elementi chiamata personale
1;7;Controllo;Degenze;Testaletto apertura e controllo interno più pulizia e aspirazione polvere e residui eventuali
1;8;Controllo;Degenze;Testaletto controllo cablaggi, serraggio morsetti, integrità componenti, controllo integrità nomenclatura e nodi eqp
1;9;Controllo;Degenze;Testaletto prova fusibili + sostituzione eventuale con taglia medesima
1;10;Controllo;Degenze;Testaletto controllo integrità circuito luce notturna
1;11;Controllo;Degenze;Ambiente controllo e prova elementi chiamata personale compreso WC e lampada fuori porta
1;12;Controllo;Degenze;Ambiente controllo e prova lampada emergenza (Controllo già presenti in altra scheda)
1;13;Controllo;Degenze;Ambiente controllo e prova illuminazione bagno
1;14;Controllo;Degenze;Ambiente controllo generale stato impianto elettrico
1;15;Controllo;Degenze;Ambiente controllo generale stato centralino di camera (Controllo già presenti in altra scheda)
1;16;Controllo;Degenze;Ambiente controllo Targhettatura centralino di camera (Controllo già presenti in altra scheda)
1;17;Controllo;Degenze;Ambiente controllo targhettatura nodo ed eventuale sottonodo (Controllo già presenti in altra scheda)
NP;18;;;
NP;19;;;
NP;20;;;
NP;21;;;
NP;22;;;
NP;23;;;
NP;24;;;
NP;25;;;
NP;26;;;
NP;27;;;
NP;28;;;
NP;29;;;Prova di funzionamento di tutti i dispositivi differenziali tramite tasto di prova
NP;30;;;Prova di funzionamento di tutti i dispositivi differenziali tramite apposito strumento di  prova
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Premessa Degenze;;;;
Le attività all'interno delle degenze devono essere svolte da personale addestrato ai lavori elettrici con qualifica PES come da Norma CEI 11-27, eseguiti in totale sicurezza. Prima di accedere alle parti elettriche in tensione del quadro occorre verificare che siano state sezionate tutte le alimentazioni elettriche con tensione superiore a 25 Vca / 60 Vdc, verificando preventivamente tramite tester la presenza di eventuali tensioni residue pericolose;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
