Impianto Diffusione Sonora;;;;
Periodicitˆ;Progressivo;Attivitˆ;Zona;Attivitˆ
1;1;Controllo;Diff. Sonora;Esame a vista della integritˆ dei componenti, stato di conservazione,
e corretta installazione
1;2;Controllo;Diff. Sonora;Prova del corretto funzionamento Bandiere e/o Autoparlati
dell'Impianto di Allarme Evacuazione
1;3;Controllo;Diff. Sonora;Prova del corretto funzionamento della centrale, amplificatori e
regolazioni varie.
1;4;Controllo;Diff. Sonora;Prova del corretto funzionamento del riproduttore di messaggi e
delle sorgeti ordinarie, se presente.
1;5;Controllo;Diff. Sonora;Prova del corretto funzionamento del sistema di chiamata vocale.
NP;6;;;
NP;7;;;
NP;8;;;
NP;9;;;
NP;10;;;
NP;11;;;
NP;12;;;
NP;13;;;
NP;14;;;
NP;15;;;
NP;16;;;
NP;17;;;
NP;18;;;
NP;19;;;
NP;20;;;
NP;21;;;
NP;22;;;
NP;23;;;
NP;24;;;
NP;25;;;
NP;26;;;
NP;27;;;
NP;28;;;
NP;29;;;Prova di funzionamento di tutti i dispositivi differenziali tramite tasto di prova
NP;30;;;Prova di funzionamento di tutti i dispositivi differenziali tramite apposito strumento di  prova
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Premessa Impianto Diffusione Sonora;;;;
Le attivitˆ sui quadri elettrici devono essere svolte da personale addestrato ai lavori elettrici con qualifica PES come da Norma CEI 11-27, eseguiti in totale sicurezza. Prima di accedere alle parti elettriche in tensione del quadro occorre verificare che siano state sezionate tutte le alimentazioni elettriche con tensione superiore a 25 Vca / 60 Vdc, verificando preventivamente tramite tester la presenza di eventuali tensioni residue pericolose;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
