SCHEDA DI VERIFICA E MANUTENZIONE PERIODICA PROGRAMMATA IMPIANTI ELETTRICI/ELETTRONICI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codice 
Scheda:;;RI;;.;;;Oggetto scheda:;;RI;;;;ELENCO COMPONENTI IMPIANTO RILEVAZIONE/SEGNALAZIONE INCENDI;;;;;;;;;;;;;;;;;;;Periodicitˆ:;;;06;;MESI;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azienda
Appaltatrice;;Desiderio Impianti S.r.l.;;;;;;Sito;0;;;;;;Cliente:;;0;;;;;;;;;;;;;;;Data inizio periodo
attivitˆ;;;;;;;;
Premessa e/o informazioni:                                              NORME CEI 78-17:2015, CEI 0-10:2012, CEI EN 50110:2014, CEI 11-27:2014, CEI 64-8:2012, CEI 64-14:2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Data precedente;;;;;;;;
Il controllo periodico deve essere effettuato da tecnico qualificato. Prima di passare alla fase esecutiva delle prove, occorre controllare la presenza dei documenti riguardanti il controllo iniziale. Durante le operazioni di controllo periodico, deve essere eseguito un controllo funzionale sul sistema, e sul 50% di tutti i dispositivi e azionamenti presenti nel sistema, essendo le verifiche semestrali, raggiungendo il 100% dei dispositivi nell'arco dei 12 mesi. Prima di procedere con le prove della parte di rivelazione degli impianti di rivelazione e spegnimento, porre le apparecchiature di comando dello spegnimento autotatico in sicurezza, per evitare l'attivazione dello spegnimento a causa delle operazioni di controllo. In modo particolare assicurarsi che gli effetti delle prove (segnalazioni e comandi) non producano situazioni di pericolo o attuazioni indesiderate, pianificando ed organizzando le prove, ed i metodi di prova, con il responsabile della sicurezza e/o con il responsabile del servizio prevenzione e protezione competente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;attivitˆ V&M;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Data attuale
attivitˆ V&M;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Verificatore/
Manutentore;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Firma;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIVELATORI LOOP 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDIRIZZO;;;;TIPO;;;INSTALLAZIONE;;;DESCRIZIONE;;;;;ZONA;;;DATA DI INSTALLAZIONE
SOSTITUZIONE O REVISIONE;;;;;;;Esito;;;;;;Note a seguito di verifica;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;P;PI;NA;NP;VN;B;;;;;;;;;;
RIV;.;L1;.1;TERMO;TERMO;TERMO;;;;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.2;FUMO;FUMO;FUMO;;;;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.3;FUMO;FUMO;FUMO;;;;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
