Impianto fotovoltaico;;;;
Periodicità;Progressivo;Attività;Zona;Attività
1;1;Verifica;Generale;Verifica a vista dell'integrità e della corretta installazione dei principali componenti dell'impianto
1;2;Controllo;Generale;Controllo della rispondenza e correttezza della documentazione di progetto con quanto riscontrabile sull'impianto fotovoltaico
1;3;Controllo;Moduli;Smontaggio e pulizia dei filtri, verifica di situazioni di surriscaldamento, controllo dell'eventuale
sistema di ventilazione forzata
1;4;Prova;Struttura;"Prova di sezionamento lato DC e/o lato AC con gli interruttori a bordo macchina, eventuale
prova del sistema di spegnimento degli ottimizzatori di potenza lato DC (""Safe-DC"")"
1;5;Manut.;Ottimizzatori;Verifica corretto funzionamento degli ottimizzatori lato DC tramite portale di monitoraggio (se presenti)
1;6;Controllo;Cavi DC;Controllo visivo dello stato di conservazione dei cavi elettrici lato DC, protezione dagli agenti
atmosferici, assenza di segni da cortocircuito, mancanza di tagli o schiacciamenti meccanici
1;7;Controllo;Cavidotti;Controllo dello stato di conservazione dei dispositivi di contenimento dei cavi elettrici,
eventuale presenza del coperchio, del setto separatore, dei distanziatori e dei fissaggi
1;8;Verifica;EQP;Verifica collegamenti equipotenziali della struttura di sostegno, del nodo equipotenziale, dei
morsetti di terra e serraggio delle connessioni
1;9;Verifica;QDC;Verifica mediante misurazione del valore di tensione di parallelo stringhe e corrente in ingresso
al quadro da ogni stringa lato DC
1;10;Verifica;QDC;Verifica di continuità di tutti i fusibili di protezione delle stringhe fotovoltaiche
1;11;Manut.;Inverter;Pulizia parti isolanti e parti attive, aspirazione o soffiaggio della polvere
1;12;Controllo;Inverter;Controllo visivo generale ed integrità dei convertitori DC/AC (inverter), fissaggi, display, tasti a
bordo macchina, assenza di allarmi/avvisi, targhe ed etichette identificative
1;13;Controllo;Inverter;Controllo visivo dei collegamenti elettrici, serraggio delle connessioni dei cavi in ingresso ed 
uscita, controllo integrità terminali e connettori
1;14;Controllo;Monitoraggio;Controllo di corretto funzionamento del sistema di monitoraggio dell'impianto (se presente)
1;15;Controllo;Inverter;Controllo visivo generale dello stato di conservazione ed integrità dei moduli fotovoltaici e dei
componenti principali (vetro, cornice, scatola di giunzione, connettori)
1;16;Controllo;Inverter;Controllo Visivo sulla tenuta degli ancoraggi dei moduli fotovoltaici alla copertura dell'edificio,
controllo struttura di sostegno e verifica inizio d'infiltrazioni d'acqua dai punti di fissaggio
1;17;Verifica;SPI;Verifica di corretto funzionamento del sistema di protezione di interfaccia integrato (SPI)  all’interno del gruppo di conversione mediante avviamento di funzione di autotest dello stesso
1;18;Verifica;SPI;Verifica di corretto funzionamento del sistema di protezione di interfaccia esterno(SPI) al gruppo di conversione in particolare il coordinamento fra la protezione di interfaccia (PDI) e il dispositivo di interfaccia (DDI). (SE PRESENTE)
5;19;Verifica;SPI;Verfica tempi di intervento sistema di protezione d'interfaccia esterno (SPI)N.B. ATTIVITA' DA SVOLGERE TRAMITE PROVA CASSETTA RELE' DA TECNICO ABILITATO ED ESCLUSA DA VERIFICHE PERIODICHE PROGRAMMATE
NP;20;#REF!;#REF!;
NP;21;#REF!;#REF!;
NP;22;#REF!;#REF!;
NP;23;#REF!;#REF!;
NP;24;#REF!;#REF!;
NP;25;#REF!;#REF!;
NP;26;#REF!;#REF!;
NP;27;#REF!;#REF!;
NP;28;#REF!;#REF!;
NP;29;#REF!;#REF!;
NP;30;#REF!;#REF!;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Premessa Impianto Fotovoltaico;;;;
Le attività sui quadri elettrici devono essere svolte da personale addestrato ai lavori elettrici con qualifica PES come da Norma CEI 11-27, eseguiti in totale sicurezza. Prima di accedere alle parti elettriche in tensione del quadro occorre verificare che siano state sezionate tutte le alimentazioni elettriche con tensione superiore a 25 Vca / 60 Vdc, verificando preventivamente tramite tester la presenza di eventuali tensioni residue pericolose;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
