Illuminazione sicurezza;;;;
Periodicitˆ;Progressivo;Attivitˆ;Zona;Attivitˆ
06;1;Controllo;;Controllo Generale a vista sull'integritˆ degli apparecchi, pulizia, numerazione e corretta installazione
06;2;Prova;;Prova di funzionamento ed autonomia, tramite simulazione del black-out sul quadro elettrico
06;3;;;
06;4;;;
06;5;;;
06;6;;;
06;7;;;
06;8;;;
06;9;;;
06;10;;;
06;11;;;
06;12;;;
06;13;;;
06;14;;;
06;15;;;
06;16;;;
06;17;;;
06;18;;;
06;19;;;
06;20;;;
06;21;;;
06;22;;;
06;23;;;
06;24;;;
06;25;;;
06;26;;;
06;27;;;
06;28;;;
06;29;;;
06;30;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Premessa Illuminazione di sicurezaa;;;;
Autonomia di progetto =;;1 ora;.    ;
Prima di effettuare qualsiasi tipo di prova sugli apparecchi di illuminazione e segnalazione di sicurezza occorre verificare con i referenti del sito l'effettiva possibilitˆ di svolgere le prove.;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
