Sgancio generale emergenza;;;;
Periodicitˆ;Progressivo;Attivitˆ;Zona;Attivitˆ
06;1;Controllo;PEM;Controllo generale, integritˆ dell'involucro e del vetro, stato di conservazione
06;2;Verifica;PEM;Verifica del sistema di sorveglianza del circuito e dei dispositivi atti allo sgancio
06;3;Controllo;PEM;Controllo fissaggio, leggibilitˆ e completezza dei cartelli di identificazione del dispositivo
1;4;Prova;PEM;Prova di funzionamento, con azionamento del pulsante e verifica di intervento del dispositivo
NP;5;;;
NP;6;;;
NP;7;;;
NP;8;;;
NP;9;;;
NP;10;;;
NP;11;;;
NP;12;;;
NP;13;;;
NP;14;;;
NP;15;;;
NP;16;;;
NP;17;;;
NP;18;;;
NP;19;;;
NP;20;;;
NP;21;;;
NP;22;;;
NP;23;;;
NP;24;;;
NP;25;;;
NP;26;;;
NP;27;;;
NP;28;;;
NP;29;;;
NP;30;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Premessa Sgancio Generale Emergenza;;;;
Prima di effettuare qualsiasi tipo di prova sui dispositivi di sgancio di emergenza occorre verificare con i referenti del sito la effettiva possibilitˆ di svolgere le prove.;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
