Quadro elettrico;;;;
Periodicità;Progressivo;Attività;Zona;Attività
06;1;Prova;Quadro;Prova di funzionamento di tutti i dispositivi differenziali tramite tasto di prova
1;2;Controllo;Quadro;Controllo presenza targa quadro, sigla identificazione quadro, schema elettrico, targhette identificazione apparecchiature ed interruttori, numerazione morsettiere, più alimentazioni.
1;3;Controllo;Quadro;Controllo presenza, integrità ed efficienza dei dispositivi di sicurezza apertura portelle, stato di conservazione interno/esterno armadio, ed integrità involucro
1;4;Controllo;Quadro;Controllo segni di scariche elettriche sull'involucro, o presenza bruciature su involucro o apparecchiature
1;5;Controllo;Quadro;Verifica corretto funzionamento della strumentazione di misura (se presente)
1;6;Verifica;Quadro;Controllo dispositivi di inserzione, integrità teleruttori, integrità fusibili di protezione, efficienza interruttori automatici, integrità scaricatori di sovratensione
1;7;Controllo;Quadro;Controllo dei dispositivi di comando e segnalazione (selettori, pulsanti, spie, ecc…)
1;8;Verifica;Quadro;controllo dei collegamenti elettrici al circuito principale di potenza, serraggio delle connessioni, verifica di situazioni di surriscaldamento, controllo integrità terminali
1;9;Verifica;Quadro;Controllo dei collegamenti elettrici ai circuiti ausiliari, serraggio delle connessioni
1;10;Controllo;Quadro;Verifica della efficacia delle aperture di ventilazione naturale sul quadro, e verifica del mantenimento del grado di protezione IP di progetto
1;11;Controllo;Quadro;Controllo del corretto funzionamento della ventola di raffreddamento (se presente)
1;12;Controllo;Quadro;Controllo inaccesibilità del quadro alle persone non addestrate (potrella chiusa a chiave, quadro entro locale chiuso a chiave o in zona confinata alle persone non addestrate, altro)
1;13;Verifica;Quadro;Controllo eventuale presenza di corpi estranei all'interno del quadro
1;14;Controllo;Quadro;Controllo serraggio della bulloneria meccanica e della bulloneria elettrica
1;15;Controllo;Quadro;controllo dei blocchi e degli interblocchi
1;16;Controllo;Quadro;Verifica e misura di contintuità del collegamento di messa a terra e del collettore di terra del quadro
1;17;Verifica;Quadro;Controllo del corretto fissaggio a pavimento/parete del quadro tale da evitare il rovesciamento/caduta
1;18;Controllo;Quadro;Controllo presenza e integrità cartellonistica di sicurezza
1;19;Manut.;Quadro;Pulizia parti isolanti e parti attive, aspirazione polvere
2;20;Manut.;Quadro ;Pulizia e lubrificazione leverismi, verifica delle parti estraibili
NP;21;;;
NP;22;;;
NP;23;;;
NP;24;;;
NP;25;;;
NP;26;;;
NP;27;;;
NP;28;;;
NP;29;;;Prova di funzionamento di tutti i dispositivi differenziali tramite tasto di prova
NP;30;;;Prova di funzionamento di tutti i dispositivi differenziali tramite apposito strumento di  prova
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Premessa Quadri Elettrici;;;;
Le attività sui quadri elettrici devono essere svolte da personale addestrato ai lavori elettrici con qualifica PES come da Norma CEI 11-27, eseguiti in totale sicurezza. Prima di accedere alle parti elettriche in tensione del quadro occorre verificare che siano state sezionate tutte le alimentazioni elettriche con tensione superiore a 25 Vca / 60 Vdc, verificando preventivamente tramite tester la presenza di eventuali tensioni residue pericolose;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
