Quadro Media Tensione;;;;;;;
Periodicità;Progressivo;Attività;Zona;Attività;SF6;ISV;IVOR
1;1;Controlo;Q.M.T.;Controllo generale, installazione, integrità parti isolanti per lesioni e tracce di scarica, verifica presenza di corpi estranei all'interno del quadro e pulizia generale;Controllo generale, installazione, integrità parti isolanti per lesioni e tracce di scarica, verifica presenza di corpi estranei all'interno del quadro e pulizia generale;;
1;2;Controllo;Q.M.T.;Controllo ed esame a vista delle parti attive e puliza contatti principali di innesto e connessione, controllo serraggio della bulloneria, pulizia e serraggio morsettiere, pulizia e lubrificazione cinematismi;Controllo ed esame a vista delle parti attive e puliza contatti principali di innesto e connessione, controllo serraggio della bulloneria, pulizia e serraggio morsettiere, pulizia e lubrificazione cinematismi;;
1;3;Controllo;Q.M.T.;Verifica funzionamento elettrico, e tensione circuiti ausiliari;Verifica funzionamento elettrico, e tensione circuiti ausiliari;;
1;4;Controllo;Q.M.T.;Verifica intellegibilità e completezza targhe per sequenza manovre;Verifica intellegibilità e completezza targhe per sequenza manovre;;
1;5;Controllo;Q.M.T.;Verifica dello stato di integrità elettrico e meccanico (scariche superficiali, fessurazioni, ossidazione, surriscaldamento, ecc.) di sbarre MT, connettori, cavi, e terminali cavi;Verifica dello stato di integrità elettrico e meccanico (scariche superficiali, fessurazioni, ossidazione, surriscaldamento, ecc.) di sbarre MT, connettori, cavi, e terminali cavi;;
1;6;Verifica;TA-TO-TV;Controllo integrità calotta di protezione, sigillatura morsetti, collegamenti primari e secondari come da schema per TA, TV e TO di protezione e misura;Controllo integrità calotta di protezione, sigillatura morsetti, collegamenti primari e secondari come da schema per TA, TV e TO di protezione e misura;;
1;7;Controllo;TV;Controllo integrità e collegamenti resistenza antiferrorisonanza dei TV, e integrità fusibile di protezione primario e secondario TV;Controllo integrità e collegamenti resistenza antiferrorisonanza dei TV, e integrità fusibile di protezione primario e secondario TV;;
1;8;Verifica;Q.M.T.;Verifica dello stato dei relè di protezione, presenza messaggi di errore e/o guasto, versione ed eventuale aggiornamento software/firmware, corretta impostazione soglie di intervento;Verifica dello stato dei relè di protezione, presenza messaggi di errore e/o guasto, versione ed eventuale aggiornamento software/firmware, corretta impostazione soglie di intervento;;
1;9;Verifica;Q.M.T.;Verifica funzionalità relè di protezione integrato, controllo integrità/efficienza delle lampade di segnalazione presenza tensione;Verifica funzionalità relè di protezione integrato, controllo integrità/efficienza delle lampade di segnalazione presenza tensione;;
1;10;Controllo;SEZ.;Esame a vista delle parti attive, pulizia e lubrificazione di tutti i meccanismi, controllo distanze e stato di usura dei contatti;Esame a vista delle parti attive, pulizia e lubrificazione di tutti i meccanismi, controllo distanze e stato di usura dei contatti;;
1;11;Controllo;ISF6;Controllo generale e installazione, controllo e pulizia parti isolanti e parti attive.;Controllo generale e installazione, controllo e pulizia parti isolanti e parti attive.;;
