Rifasamento;;;;
Periodicitˆ;Progressivo;Attivitˆ;Zona;Attivitˆ
1;1;Controllo;Rifasamento;Controllo dati di targa, quantitˆ e tipologia dei condensatori
1;2;Controllo;Rifasamento;Controllo presenza, integritˆ ed efficienza dei dispositivi di sicurezza apertura portelle.
1;3;Controllo;Rifasamento;Controllo stato di conservazione interno/esterno armadio, ed integritˆ involucro / fuoriuscita elettrolito dai condensatori
1;4;Verifica;Rifasamento;Controllo segni di scariche elettriche sull'involucro, o presenza bruciature su involucro o apparecchiature
1;5;Controllo;Rifasamento;Controllo dispositivi di inserzione, integritˆ contattori di inserzione, integritˆ fusibili di protezione, efficienza interruttori automatici
1;6;Controllo;Rifasamento;Controllo collegamenti centralina di regolazione, stato della centralina e registrazione dei valori riportati sul display,
1;7;Controllo;Rifasamento;Verifica corretta taratura della centralina (C/K e cos f“)
1;8;Controllo;Rifasamento;Controllo dei collegamenti elettrici al circuito principale di potenza, serraggio delle connessioni, verifica di situazioni di surriscaldamento
1;9;Verifica;Rifasamento;Controllo dei collegamenti elettrici al circuito di misura, serraggio delle connessioni
1;10;Controllo;Rifasamento;Verifica della efficacia delle aperture di ventilazione naturale sul quadro
1;11;Controllo;Rifasamento;Controllo del corretto funzionamento della ventola di raffreddamento, registrazione del valore di set-point del termostato interno
1;12;Controllo;Rifasamento;Controllo inaccessibilitˆ del quadro alle persone non addestrate (portella chiusa a chiave, quadro entro locale chiuso a chiave o in zona confinata alle persone non addestrate, altro)
1;13;Controllo;Rifasamento;Controllo serraggio della bulloneria meccanica e della bulloneria elettrica
NP;14;;;
NP;15;;;
NP;16;;;
NP;17;;;
NP;18;;;
NP;19;;;
NP;20;;;
NP;21;;;
NP;22;;;
NP;23;;;
NP;24;;;
NP;25;;;
NP;26;;;
NP;27;;;
NP;28;;;
NP;29;;;Prova di funzionamento di tutti i dispositivi differenziali tramite tasto di prova
NP;30;;;Prova di funzionamento di tutti i dispositivi differenziali tramite apposito strumento di  prova
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Premessa Rifasamento;;;;
Le attivitˆ sui quadri elettrici devono essere svolte da personale addestrato ai lavori elettrici con qualifica PES come da Norma CEI 11-27, eseguiti in totale sicurezza. Prima di accedere alle parti elettriche in tensione del quadro occorre verificare che siano state sezionate tutte le alimentazioni elettriche con tensione superiore a 25 Vca / 60 Vdc, verificando preventivamente tramite tester la presenza di eventuali tensioni residue pericolose;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
