Limitatori Sovratensione;;;;
Periodicitˆ;Progressivo;Attivitˆ;Zona;Attivitˆ
06;1;Controllo;;Controllo generale, verifica integritˆ delle protezioni dei limitatori di sovratensione
06;2;;;
06;3;;;
06;4;;;
06;5;;;
06;6;;;
06;7;;;
06;8;;;
06;9;;;
06;10;;;
06;11;;;
06;12;;;
06;13;;;
06;14;;;
06;15;;;
06;16;;;
06;17;;;
06;18;;;
06;19;;;
06;20;;;
06;21;;;
06;22;;;
06;23;;;
06;24;;;
06;25;;;
06;26;;;
06;27;;;
06;28;;;
06;29;;;
06;30;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Premessa Limitatori di Sovratensione;;;;
;;;.    ;
Prima di effettuare qualsiasi tipo di prova occorre verificare con i referenti del sito la effettiva possibilitˆ di svolgere le prove.I controlli a vista devono essere svolti senza influire sulle regolari attivitˆ lavorative del sito, mantenendo in ogni caso le condizioni di sicurezza per le persone.Le verifiche in quota devono essere svolte in condizioni di massima sicurezza per gli addetti e per le persone presenti nel sito, confinando le aree con opportune barriere e cartellonistica di avvertimento.;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
