Trasformatore MT/BT in olio;;;;;;;
Periodicità;Progressivo;Attività;Zona;Attività;;;
1;1;Controllo;Trasformatore;Controllo dati di targa,  tipo di liquido isolante, verifica dei valori di tensione e di corrente erogati al momento della verifica;;;
1;2;Controllo;Trasformatore;Controllo presenza ed integrità dispositivi contro la dispersione del liquido;;;
1;3;Controllo;Trasformatore;Controllo livello liquido isolante e stato dei Sali di essicazion aria;;;
1;4;Verifica;Trasformatore;Verifica intervento relè Buchholz;;;
1;5;Verifica;Trasformatore;Verifica e registrazione dell'indicatore di temperatura;;;
1;6;Manutenzione;Trasformatore;Pulizia e controllo dei radiatori, controllo serraggio bulloneria, controllo serraggio delle connessioni;;;
1;7;Verifica;Trasformatore;Verifica della efficienza del sistema di rifasamento fisso del trasformatore a vuoto e dei relativi dispositivi di protezione;;;
1;8;Manutenzione;Trasformatore;Pulizia isolatori e controllo stato di conservazione;;;
1;9;Controllo;Traformatore;Controllo posizione ed ossidazione aste spinterometriche (se presenti);;;
1;10;Controllo;Trasformatore;Controllo serraggio bulloneria terminali MT/BT;;;
5;11;Controllo;Trasformatore;Controllo rigidità dielettrica del liquido isolante (N.B. attività da fare eseguire direttamente dal costruttore del trasformatore o da tecnico specializzato, pertanto esclusa da verifiche periodiche programmate);;;
5;12;Controllo;Trasformatore;Verifica di funzionamento del variatore di tensione (a vuoto);;;
5;13;Manutenzione;Trasformatore;Controllo stato dei dispositivi meccanici di movimentazione del trasformatore;;;
NP;14;;;;;;
NP;15;;;;;;
NP;16;;;;;;
NP;17;;;;;;
NP;18;;;;;;
NP;19;;;;;;
NP;20;;;;;;
NP;21;;;;;;
NP;22;;;;;;
NP;23;;;;;;
NP;24;;;;;;
NP;25;;;;;;
NP;26;;;;;;
NP;27;;;;;;
NP;28;;;;;;
NP;29;;;;;;
NP;30;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Premessa Trasformatore in olio;;;;;;;
Le attività sul trasformatore MT/BT devono essere svolte da personale addestrato ai lavori elettrici con qualifca PES come da Norma CEI11-27, ed eseguiti in totale sicurezza. Prima di accedere alle parti elettriche in tensione è fondamentale sezionare la/le alimentazioni al trasformatore, e collegare le 3 fasi in franco cortocircuito fra loro e collegate anche verso terra.;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
