Trasformatore MT/BT a secco;;;;
Periodicità;Progressivo;Attività;Zona;Attività
1;1;Controllo;Trasformatore;Controllo dati di targa,  verifica dei valori di tensione e di corrente erogati al momento della verifica
1;2;Controllo;Trasformatore;Controllo funzionamento ventilatori di raffredamento e centraline di comando (se presenti)
1;3;Controllo;Trasformatore;Controllo presenza ostruzioni nei canali di raffreddamento e verifica visiva integrità della resina
1;4;Verifica;Trasformatore;Controllo collegamenti alle sonde di temperatura e registrazione dei valori di temperatura riportati sulla centralina termometrica
1;5;Verifica;Trasformatore;Verifica della efficienza del sistema di rifasamento fisso del trasformatore a vuoto e dei relativi dispositivi di protezione
1;6;Manutenzione;Trasformatore;Pulizia isolatori e controllo stato di conservazione
1;7;Controllo;Trasformatore;Controllo posizione ed ossidazione aste spinterometriche (se presenti)
1;8;Controllo;Trasformatore;Controllo serraggio bulloneria terminali MT/BT
5;9;Controllo;Traformatore;Controllo stato dei dispositivi meccanici di movimentazione del trasformatore
NP;10;;;
NP;11;;;
NP;12;;;
NP;13;;;
NP;14;;;
NP;15;;;
NP;16;;;
NP;17;;;
NP;18;;;
NP;19;;;
NP;20;;;
NP;21;;;
NP;22;;;
NP;23;;;
NP;24;;;
NP;25;;;
NP;26;;;
NP;27;;;
NP;28;;;
NP;29;;;
NP;30;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Premessa Trasformatore a secco;;;;
Le attività sul trasformatore MT/BT devono essere svolte da personale addestrato ai lavori elettrici con qualifca PES come da Norma CEI11-27, ed eseguiti in totale sicurezza. Prima di accedere alle parti elettriche in tensione è fondamentale sezionare la/le alimentazioni al trasformatore, e collegare le 3 fasi in franco cortocircuito fra loro e collegate anche verso terra.;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
