CRONOPROGRAMMA SCHEDE DI VERIFICA & MANUTENZIONE PERIODICA PROGRAMMATA IMPIANTI ELETTRICI;;;;;;;;;;;;;;;;;;;;
Data inizio periodo attivitˆ:;;;;;Azienda Appaltatrice:;;Desiderio Impianti S.r.l.;;;;Cliente:;0;;;;Sito:;0;;;
;;;;;;;;;;;;;;;;;;;;
;QC Quadro Contatore;QG Quadro Generale;QGA Quadro Generale Ampliamento;QGNA Quadro Generale Nuovo Ampliamento;QCT Quadro Centrale Termica;QSC2 Quadro Sotto Centrale 2;QLAB Quadro Laboratori;QLAB2 Quadro Laboratori 2;QCUC Quadro Cucina;QAUX Quadri Ausiliari;PEM Pulsante Sgancio Generale Emergenza;EM Illuminazione di emergenza;SPD Scaricatori di Sovratensione;IE impianto Elettrico;FTV Impianto Fotovoltaico;;;;;
Jul-25;;;;;;;;;;;;;;;;;;;;
Aug-25;;;;;;;;;;;;;;;;;;;;
Sep-25;QC 06;QG 06;QGA 06;QGNA 06;QCT 06;QSC2 06;QLAB 06;QLAB2 06;QCUC 06;QAUX 06;PEM 06;EM 06;SPD 06;;;;;;;
Oct-25;;;;;;;;;;;;;;;;;;;;
Nov-25;;;;;;;;;;;;;;;;;;;;
Dec-25;;;;;;;;;;;;;;;;;;;;
Jan-26;;;;;;;;;;;;;;;;;;;;
Feb-26;;;;;;;;;;;;;;;;;;;;
Mar-26;QC 1;QG 1;QGA 1;QGNA 1;QCT 1;QSC2 1;QLAB 1;QLAB2 1;QCUC 1;QAUX 1;PEM 1;EM 06;SPD 06;IE 3;FTV 1;;;;;
Apr-26;;;;;;;;;;;;;;;;;;;;
May-26;;;;;;;;;;;;;;;;;;;;
Jun-26;;;;;;;;;;;;;;;;;;;;
Jul-26;;;;;;;;;;;;;;;;;;;;
Aug-26;;;;;;;;;;;;;;;;;;;;
Sep-26;QC 06;QG 06;QGA 06;QGNA 06;QCT 06;QSC2 06;QLAB 06;QLAB2 06;QCUC 06;QAUX 06;PEM 06;EM 06;SPD 06;;;;;;;
Oct-26;;;;;;;;;;;;;;;;;;;;
Nov-26;;;;;;;;;;;;;;;;;;;;
Dec-26;;;;;;;;;;;;;;;;;;;;
Jan-27;;;;;;;;;;;;;;;;;;;;
Feb-27;;;;;;;;;;;;;;;;;;;;
Mar-27;QC 1;QG 1;QGA 1;QGNA 1;QCT 1;QSC2 1;QLAB 1;QLAB2 1;QCUC 1;QAUX 1;PEM 1;EM 06;SPD 06;IE 1;FTV 1;;;;;
Apr-27;;;;;;;;;;;;;;;;;;;;
May-27;;;;;;;;;;;;;;;;;;;;
Jun-27;;;;;;;;;;;;;;;;;;;;
Jul-27;;;;;;;;;;;;;;;;;;;;
Aug-27;;;;;;;;;;;;;;;;;;;;
Sep-27;QC 06;QG 06;QGA 06;QGNA 06;QCT 06;QSC2 06;QLAB 06;QLAB2 06;QCUC 06;QAUX 06;PEM 06;EM 06;SPD 06;;;;;;;
Oct-27;;;;;;;;;;;;;;;;;;;;
Nov-27;;;;;;;;;;;;;;;;;;;;
Dec-27;;;;;;;;;;;;;;;;;;;;
Jan-28;;;;;;;;;;;;;;;;;;;;
Feb-28;;;;;;;;;;;;;;;;;;;;
Mar-28;QC 1;QG 1;QGA 1;QGNA 1;QCT 1;QSC2 1;QLAB 1;QLAB2 1;QCUC 1;QAUX 1;PEM 1;EM 06;SPD 06;IE 1;FTV 1;;;;;
Apr-28;;;;;;;;;;;;;;;;;;;;
May-28;;;;;;;;;;;;;;;;;;;;
Jun-28;;;;;;;;;;;;;;;;;;;;
Jul-28;;;;;;;;;;;;;;;;;;;;
Aug-28;;;;;;;;;;;;;;;;;;;;
Sep-28;QC 06;QG 06;QGA 06;QGNA 06;QCT 06;QSC2 06;QLAB 06;QLAB2 06;QCUC 06;QAUX 06;PEM 06;EM 06;SPD 06;;;;;;;
Oct-28;;;;;;;;;;;;;;;;;;;;
Nov-28;;;;;;;;;;;;;;;;;;;;
Dec-28;;;;;;;;;;;;;;;;;;;;
Jan-29;;;;;;;;;;;;;;;;;;;;
Feb-29;;;;;;;;;;;;;;;;;;;;
Mar-29;QC 1;QG 1;QGA 1;QGNA 1;QCT 1;QSC2 1;QLAB 1;QLAB2 1;QCUC 1;QAUX 1;PEM 1;EM 06;SPD 06;IE 3;FTV 1;;;;;
Apr-29;;;;;;;;;;;;;;;;;;;;
May-29;;;;;;;;;;;;;;;;;;;;
Jun-29;;;;;;;;;;;;;;;;;;;;
Jul-29;;;;;;;;;;;;;;;;;;;;
Aug-29;;;;;;;;;;;;;;;;;;;;
Sep-29;QC 06;QG 06;QGA 06;QGNA 06;QCT 06;QSC2 06;QLAB 06;QLAB2 06;QCUC 06;QAUX 06;PEM 06;EM 06;SPD 06;;;;;;;
Oct-29;;;;;;;;;;;;;;;;;;;;
Nov-29;;;;;;;;;;;;;;;;;;;;
Dec-29;;;;;;;;;;;;;;;;;;;;
Jan-30;;;;;;;;;;;;;;;;;;;;
Feb-30;;;;;;;;;;;;;;;;;;;;
Mar-30;QC 1;QG 1;QGA 1;QGNA 1;QCT 1;QSC2 1;QLAB 1;QLAB2 1;QCUC 1;QAUX 1;PEM 1;EM 06;SPD 06;IE 1;FTV 1;;;;;
Apr-30;;;;;;;;;;;;;;;;;;;;
May-30;;;;;;;;;;;;;;;;;;;;
Jun-30;;;;;;;;;;;;;;;;;;;;
Jul-30;;;;;;;;;;;;;;;;;;;;
Aug-30;;;;;;;;;;;;;;;;;;;;
Sep-30;QC 06;QG 06;QGA 06;QGNA 06;QCT 06;QSC2 06;QLAB 06;QLAB2 06;QCUC 06;QAUX 06;PEM 06;EM 06;SPD 06;;;;;;;
Oct-30;;;;;;;;;;;;;;;;;;;;
Nov-30;;;;;;;;;;;;;;;;;;;;
Dec-30;;;;;;;;;;;;;;;;;;;;
Jan-31;;;;;;;;;;;;;;;;;;;;
Feb-31;;;;;;;;;;;;;;;;;;;;
Mar-31;QC 1;QG 1;QGA 1;QGNA 1;QCT 1;QSC2 1;QLAB 1;QLAB2 1;QCUC 1;QAUX 1;PEM 1;EM 06;SPD 06;IE 1;FTV 1;;;;;
Apr-31;;;;;;;;;;;;;;;;;;;;
May-31;;;;;;;;;;;;;;;;;;;;
Jun-31;;;;;;;;;;;;;;;;;;;;
Jul-31;;;;;;;;;;;;;;;;;;;;
Aug-31;;;;;;;;;;;;;;;;;;;;
Sep-31;QC 06;QG 06;QGA 06;QGNA 06;QCT 06;QSC2 06;QLAB 06;QLAB2 06;QCUC 06;QAUX 06;PEM 06;EM 06;SPD 06;;;;;;;
Oct-31;;;;;;;;;;;;;;;;;;;;
Nov-31;;;;;;;;;;;;;;;;;;;;
Dec-31;;;;;;;;;;;;;;;;;;;;
Jan-32;;;;;;;;;;;;;;;;;;;;
Feb-32;;;;;;;;;;;;;;;;;;;;
